  2.7000000e+001  3.0000000e-001  5.0000000e+000
  3.1000000e+001  5.0000000e-001  6.0000000e+000
  3.4000000e+001  7.0000000e-001  6.0000000e+000
  3.8000000e+001  3.0000000e-001  4.0000000e+000
  2.6000000e+001  5.0000000e-001  6.0000000e+000
  3.3000000e+001  6.0000000e-001  2.0000000e+000
  4.0000000e+001  3.0000000e-001  2.0000000e+000
  2.1000000e+001  7.0000000e-001  3.0000000e+000
  3.2000000e+001  6.0000000e-001  4.0000000e+000
  2.8000000e+001  5.0000000e-001  4.0000000e+000
  2.6000000e+001  3.0000000e-001  6.0000000e+000
  2.5000000e+001  5.0000000e-001  4.0000000e+000
  3.5000000e+001  5.0000000e-001  4.0000000e+000
  4.0000000e+001  7.0000000e-001  4.0000000e+000
  2.3000000e+001  7.0000000e-001  5.0000000e+000
  3.6000000e+001  7.0000000e-001  2.0000000e+000
  2.4000000e+001  6.0000000e-001  6.0000000e+000
  4.0000000e+001  5.0000000e-001  2.0000000e+000
  3.6000000e+001  7.0000000e-001  4.0000000e+000
  2.8000000e+001  5.0000000e-001  3.0000000e+000
  3.5000000e+001  4.0000000e-001  3.0000000e+000
  3.0000000e+001  4.0000000e-001  5.0000000e+000
  3.6000000e+001  6.0000000e-001  2.0000000e+000
  2.7000000e+001  5.0000000e-001  3.0000000e+000
